p,h,output,model
"In your inventory, you see: an orange ",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in hallway,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in hallway,0,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in art studio,0,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
